Tarih,Kategori,Bölge,Kanal,Müşteri Segmenti,Birim Fiyat,Adet,İndirim Oranı,Net Ciro,Kâr
2023-01-01,Spor & Outdoor,Akdeniz,Mobil Uygulama,Sadık Müşteri,2182.21,1,0.1,1963.99,432.08
2023-01-01,Kozmetik,Akdeniz,Mobil Uygulama,Sadık Müşteri,553.13,2,0.0,1106.26,420.38
2023-01-01,Elektronik,İç Anadolu,Web Sitesi,Sadık Müşteri,3164.09,1,0.1,2847.68,398.68
2023-01-01,Kitap & Kırtasiye,Ege,Web Sitesi,Yeni Müşteri,355.03,1,0.05,337.28,67.46
2023-01-01,Kozmetik,Ege,Web Sitesi,Kayıtlı Müşteri,549.87,1,0.0,549.87,208.95
2023-01-01,Kozmetik,Ege,Web Sitesi,Yeni Müşteri,484.91,1,0.0,484.91,184.26
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,4203.45,1,0.1,3783.1,529.63
2023-01-01,Giyim,İç Anadolu,Web Sitesi,Yeni Müşteri,737.1,1,0.0,737.1,235.87
2023-01-01,Giyim,Marmara,Mobil Uygulama,Kayıtlı Müşteri,251.8,1,0.0,251.8,80.58
2023-01-01,Kitap & Kırtasiye,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,188.43,1,0.0,188.43,37.69
2023-01-01,Ev & Yaşam,Marmara,Web Sitesi,Kayıtlı Müşteri,1313.41,1,0.1,1182.07,307.34
2023-01-01,Spor & Outdoor,Marmara,Web Sitesi,Kayıtlı Müşteri,1583.79,1,0.0,1583.79,348.43
2023-01-01,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,549.39,1,0.05,521.92,167.01
2023-01-01,Elektronik,Ege,Mobil Uygulama,Sadık Müşteri,6167.57,1,0.05,5859.19,820.29
2023-01-01,Ev & Yaşam,Marmara,Web Sitesi,Kayıtlı Müşteri,3859.42,2,0.2,6175.07,1605.52
2023-01-01,Elektronik,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,5994.84,1,0.15,5095.62,713.39
2023-01-01,Spor & Outdoor,Ege,Web Sitesi,Sadık Müşteri,2184.58,2,0.05,4150.7,913.15
2023-01-01,Ev & Yaşam,İç Anadolu,Mobil Uygulama,Yeni Müşteri,2667.62,1,0.15,2267.48,589.55
2023-01-01,Kozmetik,Ege,Mobil Uygulama,Yeni Müşteri,554.28,1,0.0,554.28,210.63
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,557.0,1,0.1,501.3,160.42
2023-01-01,Kitap & Kırtasiye,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,184.86,2,0.15,314.27,62.85
2023-01-01,Spor & Outdoor,İç Anadolu,Web Sitesi,Kayıtlı Müşteri,3325.18,1,0.1,2992.66,658.39
